rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/episodes,time/fps,rollout/exploration_rate,time/total_timesteps,train/learning_rate,train/n_updates,train/loss
84.0,50.295834940000006,2127,4623,182,0.05,388332,0.0001,97057,0.05404412001371384
84.0,50.40238643000001,2127,4624,182,0.05,388416,0.0001,97078,0.05465889722108841
84.0,50.539645220000004,2128,4625,182,0.05,388500,0.0001,97099,0.1507403552532196
84.0,50.52984182,2128,4626,182,0.05,388584,0.0001,97120,3.549776792526245
84.0,50.59107857,2129,4627,182,0.05,388668,0.0001,97141,3.603078842163086
84.0,50.32317338,2129,4628,182,0.05,388752,0.0001,97162,0.16225886344909668
84.0,50.19703964,2130,4629,182,0.05,388836,0.0001,97183,0.19936665892601013
84.0,50.0008505,2130,4630,182,0.05,388920,0.0001,97204,0.09635642170906067
84.0,50.18763413,2131,4631,182,0.05,389004,0.0001,97225,0.19813552498817444
84.0,50.256901629999994,2131,4632,182,0.05,389088,0.0001,97246,0.10137442499399185
84.0,50.235187669999995,2132,4633,182,0.05,389172,0.0001,97267,11.229962348937988
84.0,50.34830680000001,2132,4634,182,0.05,389256,0.0001,97288,3.581118106842041
84.0,50.254306420000006,2133,4635,182,0.05,389340,0.0001,97309,0.1778428554534912
84.0,50.31068867000001,2133,4636,182,0.05,389424,0.0001,97330,0.26670125126838684
84.0,50.41893664,2134,4637,182,0.05,389508,0.0001,97351,0.08519314229488373
84.0,50.21530633999999,2134,4638,182,0.05,389592,0.0001,97372,0.4861956536769867
84.0,50.28260184999999,2135,4639,182,0.05,389676,0.0001,97393,0.057205669581890106
84.0,50.58318534999999,2135,4640,182,0.05,389760,0.0001,97414,0.12805654108524323
84.0,50.333174389999996,2135,4641,182,0.05,389844,0.0001,97435,0.14217498898506165
84.0,50.45217556000001,2136,4642,182,0.05,389928,0.0001,97456,0.06402094662189484
84.0,50.29256038,2136,4643,182,0.05,390012,0.0001,97477,0.1235959455370903
84.0,50.34798039,2137,4644,182,0.05,390096,0.0001,97498,0.5105658173561096
84.0,50.472909709999996,2137,4645,182,0.05,390180,0.0001,97519,0.10544554889202118
84.0,50.29595803999999,2138,4646,182,0.05,390264,0.0001,97540,3.5052127838134766
